Data;Tmax;Tmin;I;Tmean;UR;V
"""1993-03-05""";25.9;17.4;3.8;21.28;78.75;0.666667
"""1993-04-05""";25.8;18.4;1.0;21.34;74.25;1.133333
"""1993-05-05""";22.3;18.8;0.8;19.96;86.0;1.366667
"""1993-06-05""";28.4;17.0;8.5;22.14;67.5;2.4
"""1993-07-05""";27.0;18.0;10.0;21.5;66.0;1.066667
"""1993-08-05""";25.0;16.2;9.5;20.34;60.75;2.1333330000000004
"""1993-09-05""";25.0;16.4;9.1;20.7;62.5;2.0333330000000003
"""1993-10-05""";24.3;16.2;9.3;19.76;54.5;1.9
"""1993-11-05""";26.3;15.4;9.4;20.24;62.25;1.466667
"""1993-12-05""";26.8;15.4;8.7;20.58;55.75;1.233333
"""1993-05-13""";27.4;16.2;8.0;21.82;58.0;1.7
"""1993-05-14""";27.7;18.6;6.5;23.22;59.0;3.0
"""1993-05-15""";24.3;17.4;4.1;20.36;70.75;2.1333330000000004
"""1993-05-16""";21.2;16.6;0.5;18.22;81.5;1.666667
"""1993-05-17""";20.7;16.4;0.2;18.04;79.5;2.1
"""1993-05-18""";21.3;15.4;0.3;17.64;77.5;1.9
"""1993-05-19""";23.1;14.4;6.6;18.08;67.75;1.9666669999999997
"""1993-05-20""";23.5;13.8;5.3;17.76;64.0;2.5333330000000003
"""1993-05-21""";22.5;13.7;8.6;17.54;65.0;2.3
"""1993-05-22""";22.6;14.2;8.2;18.3;58.25;1.9666669999999997
"""1993-05-23""";23.3;14.0;6.7;17.88;61.5;1.466667
"""1993-05-24""";23.5;14.0;7.7;18.0;64.25;1.633333
"""1993-05-25""";24.3;15.0;6.4;19.64;63.0;1.7
"""1993-05-26""";25.3;14.8;8.3;20.04;60.0;1.1
"""1993-05-27""";25.7;15.0;8.6;20.08;51.25;2.2
"""1993-05-28""";26.3;15.0;6.8;20.08;62.25;1.166667
"""1993-05-29""";22.4;15.6;6.9;18.3;75.25;2.7
"""1993-05-30""";24.3;15.6;8.7;19.2;71.75;2.0
"""1993-05-31""";24.7;15.8;4.1;19.0;76.25;1.233333
"""1993-01-06""";21.8;15.4;0.0;18.94;76.75;1.066667
"""1993-02-06""";22.2;15.0;7.8;18.78;73.75;2.1
"""1993-03-06""";20.8;15.6;4.2;18.18;74.0;2.6333330000000004
"""1993-04-06""";24.0;16.2;8.1;19.26;74.25;1.9666669999999997
"""1993-05-06""";24.4;15.0;7.3;19.98;72.0;2.1
"""1993-06-06""";21.2;17.2;0.3;18.58;88.5;1.033333
"""1993-07-06""";23.6;16.2;8.7;19.9;72.5;1.9333330000000002
"""1993-08-06""";24.3;17.2;8.5;20.04;68.0;2.2
"""1993-09-06""";26.4;15.0;8.9;20.46;67.25;1.033333
"""1993-10-06""";27.2;16.0;8.8;21.74;64.25;1.366667
"""1993-11-06""";22.2;17.2;2.8;18.74;77.5;2.3666669999999996
"""1993-12-06""";22.0;15.6;5.8;17.56;76.5;3.0333330000000003
"""1993-06-13""";20.0;12.0;8.7;15.8;70.5;2.4
"""1993-06-14""";21.5;12.0;8.4;16.48;66.5;2.3
"""1993-06-15""";20.7;13.8;6.3;16.4;63.0;2.5333330000000003
"""1993-06-16""";28.6;12.6;8.7;17.94;70.5;2.6
"""1993-06-17""";22.2;14.4;8.3;17.7;68.25;2.0333330000000003
"""1993-06-18""";23.8;13.0;7.1;19.1;57.0;2.0333330000000003
"""1993-06-19""";20.8;14.2;5.7;15.9;76.75;1.5
"""1993-06-20""";23.7;10.6;9.0;16.5;54.75;2.733333
"""1993-06-21""";23.5;13.4;8.9;18.16;61.0;1.366667
"""1993-06-22""";24.6;12.4;8.8;17.74;63.5;0.633333
"""1993-06-23""";25.4;12.6;8.8;17.86;59.0;0.833333
"""1993-06-24""";25.5;12.8;8.9;18.84;50.25;0.866667
"""1993-06-25""";24.8;13.0;8.7;18.86;50.25;1.166667
"""1993-06-26""";24.5;14.8;8.7;18.68;71.0;1.833333
"""1993-06-27""";25.2;13.8;8.5;19.18;59.25;1.2
"""1993-06-28""";25.6;13.8;8.9;19.34;55.75;1.266667
"""1993-06-29""";25.6;14.0;8.8;19.74;49.0;1.6
"""1993-06-30""";24.5;14.0;NA;19.2;58.0;1.166667
"""1993-01-07""";26.8;14.6;NA;19.9;50.5;1.2
"""1993-02-07""";28.4;15.0;NA;21.14;45.25;1.3
"""1993-03-07""";29.3;15.6;NA;21.96;45.5;1.033333
"""1993-04-07""";29.2;15.8;NA;22.16;47.0;0.7
"""1993-05-07""";29.5;16.8;NA;22.28;46.75;1.2
"""1993-06-07""";27.2;16.4;NA;21.54;44.5;1.233333
"""1993-07-07""";27.8;15.0;NA;21.78;44.0;1.466667
"""1993-08-07""";25.6;16.8;NA;20.86;62.0;1.633333
"""1993-09-07""";24.5;17.2;NA;19.92;64.5;2.4666669999999997
"""1993-10-07""";24.7;16.4;NA;19.92;62.25;2.8666669999999996
"""1993-11-07""";24.2;15.2;NA;18.86;71.25;1.333333
"""1993-12-07""";26.3;15.2;NA;20.0;65.0;1.5
"""1993-07-13""";27.7;15.6;NA;21.12;50.75;1.8666669999999999
"""1993-07-14""";25.5;15.8;NA;20.72;54.25;1.8666669999999999
"""1993-07-15""";25.1;16.8;NA;20.16;65.0;1.8666669999999999
"""1993-07-16""";23.4;16.0;NA;19.14;65.5;2.2
"""1993-07-17""";22.1;16.0;NA;18.8;65.0;2.5
"""1993-07-18""";25.6;15.0;NA;19.7;55.5;1.7666669999999998
"""1993-07-19""";24.7;15.4;NA;19.68;48.25;2.266667
"""1993-07-20""";25.8;14.4;NA;19.94;52.75;1.666667
